areaName,Borough,areaType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Upper West Side,Manhattan,neighborhood,884481,891849,912952,923113,982422,1127422,1089832,1274683,1169280,1145439,1349540,1140833,1219452,1142327,1102500
Utopia,Queens,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Nest,Bronx,neighborhood,0,0,0,415950,328500,380833,445317,487000,551950,560000,0,664425,773375,0,0
Wakefield,Bronx,neighborhood,330851,328086,328275,332877,340735,341943,380933,430217,436646,492850,513870,559775,624525,610325,550000
Washington Heights,Manhattan,neighborhood,342843,341541,350598,344581,409537,474157,498311,527413,565562,528367,490962,532567,523458,496859,599000
West Harlem,Manhattan,neighborhood,0,0,0,235000,0,0,0,466440,0,1185539,0,0,40250,0,0
West Village,Manhattan,neighborhood,973750,924908,900764,1101167,1114841,1514631,1308564,1319786,1649833,1357613,1393772,1510854,1397583,1575958,1069625
Westchester Village,Bronx,neighborhood,0,0,0,455000,0,0,0,505833,487500,0,552500,0,0,0,0
Whitestone,Queens,neighborhood,561042,539354,561167,578333,658546,610556,738854,764917,850957,842042,863591,862494,990792,925392,754167
Williamsbridge,Bronx,neighborhood,380171,306091,291808,335614,351306,358130,398510,452715,468182,486511,551953,579727,638300,663906,633370
Williamsburg,Brooklyn,neighborhood,525933,543198,621732,716937,854741,903679,967466,1013664,1012291,1076518,1026121,1151286,1252639,1254290,1091000
Windsor Terrace,Brooklyn,neighborhood,519893,503200,587288,521425,687150,712973,850812,1054053,954847,993700,793333,949387,1047289,1087052,1042500
Woodhaven,Queens,neighborhood,342736,347521,338829,363883,405212,446581,509521,545167,602816,614312,650203,691646,737067,691869,817500
Woodlawn,Bronx,neighborhood,0,0,0,0,0,0,0,0,299190,0,0,220000,0,0,0
Woodside,Queens,neighborhood,374274,348952,304148,360430,396938,463615,435563,505856,538814,598958,621312,566862,531304,527442,657000
Woodstock,Bronx,neighborhood,0,0,377345,379214,0,285000,0,0,0,451167,0,350000,353750,0,0
